,證券代號,證券名稱
246,1445,大宇
247,1446,宏和
248,1447,力鵬
249,1449,佳和
250,1451,年興
251,1452,宏益
252,1453,大將
253,1454,台富
254,1455,集盛
255,1456,怡華
256,1457,宜進
257,1459,聯發
258,1460,宏遠
259,1463,強盛
260,1464,得力
261,1465,偉全
262,1466,聚隆
263,1467,南緯
264,1468,昶和
265,1470,大統新創
266,1471,首利
267,1472,三洋實業
268,1473,台南
269,1474,弘裕
270,1475,業旺
271,1476,儒鴻
272,1477,聚陽
273,1503,士電
274,1504,東元
275,1506,正道
276,1512,瑞利
277,1513,中興電
278,1514,亞力
279,1515,力山
280,1516,川飛
281,1517,利奇
282,1519,華城
283,1521,大億
284,1522,堤維西
285,1522A,堤維西甲特
286,1524,耿鼎
287,1525,江申
288,1526,日馳
289,1527,鑽全
290,1528,恩德
291,1529,樂士
292,1530,亞崴
293,1531,高林股
294,1532,勤美
295,1533,車王電
296,1535,中宇
297,1536,和大
298,1537,廣隆
299,1538,正峰
300,1539,巨庭
301,1540,喬福
302,1541,錩泰
303,1558,伸興
304,1560,中砂
305,1568,倉佑
306,1582,信錦
307,1583,程泰
308,1587,吉茂
309,1589,永冠-KY
310,1590,亞德客-KY
311,1597,直得
312,1598,岱宇
313,1603,華電
314,1604,聲寶
315,1605,華新
316,1608,華榮
317,1609,大亞
318,1611,中電
319,1612,宏泰
320,1614,三洋電
321,1615,大山
322,1616,億泰
323,1617,榮星
324,1618,合機
325,1626,艾美特-KY
326,1701,中化
327,1702,南僑
328,1707,葡萄王
329,1708,東鹼
330,1709,和益
331,1710,東聯
332,1711,永光
333,1712,興農
334,1713,國化
335,1714,和桐
336,1717,長興
337,1718,中纖
338,1720,生達
339,1721,三晃
340,1722,台肥
341,1723,中碳
342,1725,元禎
343,1726,永記
344,1727,中華化
345,1730,花仙子
346,1731,美吾華
347,1732,毛寶
348,1733,五鼎
349,1734,杏輝
350,1735,日勝化
351,1736,喬山
352,1737,臺鹽
353,1752,南光
354,1760,寶齡富錦
355,1762,中化生
356,1773,勝一
357,1776,展宇
358,1783,和康生
359,1786,科妍
360,1789,神隆
361,1795,美時
362,1802,台玻
363,1805,寶徠
364,1806,冠軍
365,1808,潤隆
366,1809,中釉
367,1810,和成
368,1817,凱撒衛
369,1903,士紙
370,1904,正隆
371,1905,華紙
372,1906,寶隆
373,1907,永豐餘
374,1909,榮成
375,2002,中鋼
376,2002A,中鋼特
377,2006,東和鋼鐵
378,2007,燁興
379,2008,高興昌
380,2009,第一銅
381,2010,春源
382,2012,春雨
383,2013,中鋼構
384,2014,中鴻
385,2015,豐興
386,2017,官田鋼
387,2020,美亞
388,2022,聚亨
389,2023,燁輝
390,2024,志聯
391,2025,千興
392,2027,大成鋼
393,2028,威致
394,2029,盛餘
395,2030,彰源
396,2031,新光鋼
397,2032,新鋼
398,2033,佳大
399,2034,允強
400,2038,海光
401,2049,上銀
402,2059,川湖
403,2062,橋椿
404,2069,運錩
405,2101,南港
406,2102,泰豐
407,2103,台橡
408,2104,國際中橡
409,2105,正新
410,2106,建大
411,2107,厚生
412,2108,南帝
413,2109,華豐
414,2114,鑫永銓
415,2115,六暉-KY
416,2201,裕隆
417,2204,中華
418,2206,三陽工業
419,2207,和泰車
420,2208,台船
421,2211,長榮鋼
422,2227,裕日車
423,2228,劍麟
424,2231,為升
425,2233,宇隆
426,2236,百達-KY
427,2239,英利-KY
428,2241,艾姆勒
429,2243,宏旭-KY
430,2247,汎德永業
431,2250,IKKA-KY
432,2301,光寶科
433,2302,麗正
434,2303,聯電
435,2305,全友
436,2308,台達電
437,2312,金寶
438,2313,華通
439,2314,台揚
440,2316,楠梓電
441,2317,鴻海
442,2321,東訊
443,2323,中環
444,2324,仁寶
445,2327,國巨
446,2328,廣宇
447,2329,華泰
448,2330,台積電
449,2331,精英
450,2332,友訊
451,2337,旺宏
452,2338,光罩
453,2340,台亞
454,2342,茂矽
455,2344,華邦電
456,2345,智邦
457,2347,聯強
458,2348,海悅
459,2348A,海悅甲特
460,2349,錸德
461,2351,順德
462,2352,佳世達
463,2353,宏碁
464,2354,鴻準
465,2355,敬鵬
466,2356,英業達
467,2357,華碩
468,2358,廷鑫
469,2359,所羅門
470,2360,致茂
471,2362,藍天
472,2363,矽統
473,2364,倫飛
474,2365,昆盈
475,2367,燿華
476,2368,金像電
477,2369,菱生
478,2371,大同
479,2373,震旦行
480,2374,佳能
481,2375,凱美
482,2376,技嘉
483,2377,微星
484,2379,瑞昱
485,2380,虹光
486,2382,廣達
487,2383,台光電
488,2385,群光
489,2387,精元
490,2388,威盛
491,2390,云辰
492,2392,正崴
493,2393,億光
494,2395,研華
495,2397,友通
496,2399,映泰
497,2401,凌陽
498,2402,毅嘉
499,2404,漢唐
500,2405,浩鑫
501,2406,國碩
502,2408,南亞科
503,2409,友達
504,2412,中華電
505,2413,環科
506,2414,精技
